Date : 2023-03-20 15:19:40
Directory : /Users/stai/Documents/dev/mimikami/packages
Total : 219 files,  4051 codes, 1151 comments, 1480 blanks, all 6682 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| article/android/app/src/main/java/io/flutter                                                                                                                                                               |          1 |         25 |          3 |          4 |         32 |
| article/android/app/src/main/java/io/flutter/plugins                                                                                                                                                       |          1 |         25 |          3 |          4 |         32 |
| article/ios                                                                                                                                                                                                |          3 |         49 |         10 |         18 |         77 |
| article/ios/Flutter                                                                                                                                                                                        |          1 |         11 |          2 |          1 |         14 |
| article/ios/Runner                                                                                                                                                                                         |          2 |         38 |          8 |         17 |         63 |
| article/lib                                                                                                                                                                                                |          8 |        359 |         79 |         83 |        521 |
| article/lib (Files)                                                                                                                                                                                        |          1 |          3 |          0 |          2 |          5 |
| article/lib/src                                                                                                                                                                                            |          7 |        356 |         79 |         81 |        516 |
| article/linux                                                                                                                                                                                              |         43 |        830 |        172 |        328 |      1,330 |
| article/linux/flutter                                                                                                                                                                                      |         43 |        830 |        172 |        328 |      1,330 |
| article/linux/flutter (Files)                                                                                                                                                                              |          2 |          8 |          9 |         11 |         28 |
| article/linux/flutter/ephemeral                                                                                                                                                                            |         41 |        822 |        163 |        317 |      1,302 |
| article/linux/flutter/ephemeral/.plugin_symlinks                                                                                                                                                           |         41 |        822 |        163 |        317 |      1,302 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux                                                                                                                                       |         18 |        503 |         90 |        170 |        763 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux (Files)                                                                                                                               |          3 |         86 |          0 |         55 |        141 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example                                                                                                                               |          8 |        198 |         43 |         58 |        299 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example (Files)                                                                                                                       |          2 |         27 |          5 |          9 |         41 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/integration_test                                                                                                              |          1 |         46 |          5 |         10 |         61 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/lib                                                                                                                           |          1 |         78 |         10 |         12 |        100 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux                                                                                                                         |          3 |         45 |         20 |         24 |         89 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/test_driver                                                                                                                   |          1 |          2 |          3 |          3 |          8 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib                                                                                                                                   |          5 |        121 |         40 |         34 |        195 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib (Files)                                                                                                                           |          1 |          1 |          3 |          2 |          6 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src                                                                                                                               |          4 |        120 |         37 |         32 |        189 |
| article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test                                                                                                                                  |          2 |         98 |          7 |         23 |        128 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs                                                                                                                                      |         23 |        319 |         73 |        147 |        539 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs (Files)                                                                                                                              |          3 |        119 |          0 |         66 |        185 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android                                                                                                                              |          6 |         68 |          5 |         20 |         93 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android (Files)                                                                                                                      |          3 |         29 |          0 |          9 |         38 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle                                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle/wrapper                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src                                                                                                                          |          2 |         34 |          5 |         10 |         49 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main                                                                                                                     |          2 |         34 |          5 |         10 |         49 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main (Files)                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java                                                                                                                |          1 |         31 |          5 |          9 |         45 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu                                                                                                             |          1 |         31 |          5 |          9 |         45 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu/simonbinder                                                                                                 |          1 |         31 |          5 |          9 |         45 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu/simonbinder/sqlite3_flutter_libs                                                                            |          1 |         31 |          5 |          9 |         45 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/example                                                                                                                              |          2 |         17 |         42 |         14 |         73 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios                                                                                                                                  |          3 |         29 |          5 |          9 |         43 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios (Files)                                                                                                                          |          1 |         21 |          5 |          4 |         30 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/Classes                                                                                                                          |          2 |          8 |          0 |          5 |         13 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/lib                                                                                                                                  |          1 |         14 |         17 |          7 |         38 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux                                                                                                                                |          2 |         22 |          0 |         13 |         35 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux (Files)                                                                                                                        |          1 |          4 |          0 |          4 |          8 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/include                                                                                                                        |          1 |         18 |          0 |          9 |         27 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/include/sqlite3_flutter_libs                                                                                                   |          1 |         18 |          0 |          9 |         27 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos                                                                                                                                |          3 |         27 |          4 |          7 |         38 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos (Files)                                                                                                                        |          1 |         19 |          4 |          2 |         25 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/Classes                                                                                                                        |          2 |          8 |          0 |          5 |         13 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows                                                                                                                              |          3 |         23 |          0 |         11 |         34 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows (Files)                                                                                                                      |          2 |          6 |          0 |          4 |         10 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/include                                                                                                                      |          1 |         17 |          0 |          7 |         24 |
| article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/include/sqlite3_flutter_libs                                                                                                 |          1 |         17 |          0 |          7 |         24 |
| article/macos                                                                                                                                                                                              |          2 |         16 |          5 |          5 |         26 |
| article/macos/Flutter                                                                                                                                                                                      |          2 |         16 |          5 |          5 |         26 |
| article/macos/Flutter (Files)                                                                                                                                                                              |          1 |          6 |          3 |          4 |         13 |
| article/macos/Flutter/ephemeral                                                                                                                                                                            |          1 |         10 |          2 |          1 |         13 |
| article/test                                                                                                                                                                                               |          1 |          5 |          5 |          3 |         13 |
| article/windows                                                                                                                                                                                            |          2 |          8 |          9 |         11 |         28 |
| article/windows/flutter                                                                                                                                                                                    |          2 |          8 |          9 |         11 |         28 |
| common                                                                                                                                                                                                     |         19 |        163 |        140 |         93 |        396 |
| common (Files)                                                                                                                                                                                             |          4 |         38 |         46 |         23 |        107 |
| common/android                                                                                                                                                                                             |          2 |         19 |          3 |          4 |         26 |
| common/android (Files)                                                                                                                                                                                     |          1 |          2 |          0 |          0 |          2 |
| common/android/app                                                                                                                                                                                         |          1 |         17 |          3 |          4 |         24 |
| common/android/app/src                                                                                                                                                                                     |          1 |         17 |          3 |          4 |         24 |
| common/android/app/src/main                                                                                                                                                                                |          1 |         17 |          3 |          4 |         24 |
| common/android/app/src/main/java                                                                                                                                                                           |          1 |         17 |          3 |          4 |         24 |
| common/android/app/src/main/java/io                                                                                                                                                                        |          1 |         17 |          3 |          4 |         24 |
| common/android/app/src/main/java/io/flutter                                                                                                                                                                |          1 |         17 |          3 |          4 |         24 |
| common/android/app/src/main/java/io/flutter/plugins                                                                                                                                                        |          1 |         17 |          3 |          4 |         24 |
| common/ios                                                                                                                                                                                                 |          3 |         25 |         10 |         14 |         49 |
| common/ios/Flutter                                                                                                                                                                                         |          1 |         11 |          2 |          1 |         14 |
| common/ios/Runner                                                                                                                                                                                          |          2 |         14 |          8 |         13 |         35 |
| common/lib                                                                                                                                                                                                 |          3 |         46 |         53 |         22 |        121 |
| common/lib (Files)                                                                                                                                                                                         |          1 |          3 |          0 |          2 |          5 |
| common/lib/src                                                                                                                                                                                             |          2 |         43 |         53 |         20 |        116 |
| common/linux                                                                                                                                                                                               |          2 |          8 |          9 |         11 |         28 |
| common/linux/flutter                                                                                                                                                                                       |          2 |          8 |          9 |         11 |         28 |
| common/macos                                                                                                                                                                                               |          2 |         14 |          5 |          5 |         24 |
| common/macos/Flutter                                                                                                                                                                                       |          2 |         14 |          5 |          5 |         24 |
| common/macos/Flutter (Files)                                                                                                                                                                               |          1 |          4 |          3 |          4 |         11 |
| common/macos/Flutter/ephemeral                                                                                                                                                                             |          1 |         10 |          2 |          1 |         13 |
| common/test                                                                                                                                                                                                |          1 |          5 |          5 |          3 |         13 |
| common/windows                                                                                                                                                                                             |          2 |          8 |          9 |         11 |         28 |
| common/windows/flutter                                                                                                                                                                                     |          2 |          8 |          9 |         11 |         28 |
| local_db                                                                                                                                                                                                   |         64 |      1,056 |        272 |        427 |      1,755 |
| local_db (Files)                                                                                                                                                                                           |          5 |         62 |         48 |         26 |        136 |
| local_db/android                                                                                                                                                                                           |          2 |         19 |          3 |          4 |         26 |
| local_db/android (Files)                                                                                                                                                                                   |          1 |          2 |          0 |          0 |          2 |
| local_db/android/app                                                                                                                                                                                       |          1 |         17 |          3 |          4 |         24 |
| local_db/android/app/src                                                                                                                                                                                   |          1 |         17 |          3 |          4 |         24 |
| local_db/android/app/src/main                                                                                                                                                                              |          1 |         17 |          3 |          4 |         24 |
| local_db/android/app/src/main/java                                                                                                                                                                         |          1 |         17 |          3 |          4 |         24 |
| local_db/android/app/src/main/java/io                                                                                                                                                                      |          1 |         17 |          3 |          4 |         24 |
| local_db/android/app/src/main/java/io/flutter                                                                                                                                                              |          1 |         17 |          3 |          4 |         24 |
| local_db/android/app/src/main/java/io/flutter/plugins                                                                                                                                                      |          1 |         17 |          3 |          4 |         24 |
| local_db/ios                                                                                                                                                                                               |          3 |         25 |         10 |         14 |         49 |
| local_db/ios/Flutter                                                                                                                                                                                       |          1 |         11 |          2 |          1 |         14 |
| local_db/ios/Runner                                                                                                                                                                                        |          2 |         14 |          8 |         13 |         35 |
| local_db/lib                                                                                                                                                                                               |          4 |         50 |         14 |         18 |         82 |
| local_db/lib (Files)                                                                                                                                                                                       |          1 |          3 |          0 |          2 |          5 |
| local_db/lib/src                                                                                                                                                                                           |          3 |         47 |         14 |         16 |         77 |
| local_db/linux                                                                                                                                                                                             |         43 |        830 |        172 |        328 |      1,330 |
| local_db/linux/flutter                                                                                                                                                                                     |         43 |        830 |        172 |        328 |      1,330 |
| local_db/linux/flutter (Files)                                                                                                                                                                             |          2 |          8 |          9 |         11 |         28 |
| local_db/linux/flutter/ephemeral                                                                                                                                                                           |         41 |        822 |        163 |        317 |      1,302 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks                                                                                                                                                          |         41 |        822 |        163 |        317 |      1,302 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux                                                                                                                                      |         18 |        503 |         90 |        170 |        763 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux (Files)                                                                                                                              |          3 |         86 |          0 |         55 |        141 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example                                                                                                                              |          8 |        198 |         43 |         58 |        299 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example (Files)                                                                                                                      |          2 |         27 |          5 |          9 |         41 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/integration_test                                                                                                             |          1 |         46 |          5 |         10 |         61 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/lib                                                                                                                          |          1 |         78 |         10 |         12 |        100 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux                                                                                                                        |          3 |         45 |         20 |         24 |         89 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/test_driver                                                                                                                  |          1 |          2 |          3 |          3 |          8 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib                                                                                                                                  |          5 |        121 |         40 |         34 |        195 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib (Files)                                                                                                                          |          1 |          1 |          3 |          2 |          6 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src                                                                                                                              |          4 |        120 |         37 |         32 |        189 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test                                                                                                                                 |          2 |         98 |          7 |         23 |        128 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs                                                                                                                                     |         23 |        319 |         73 |        147 |        539 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs (Files)                                                                                                                             |          3 |        119 |          0 |         66 |        185 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android                                                                                                                             |          6 |         68 |          5 |         20 |         93 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android (Files)                                                                                                                     |          3 |         29 |          0 |          9 |         38 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle                                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle/wrapper                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src                                                                                                                         |          2 |         34 |          5 |         10 |         49 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main                                                                                                                    |          2 |         34 |          5 |         10 |         49 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main (Files)                                                                                                            |          1 |          3 |          0 |          1 |          4 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java                                                                                                               |          1 |         31 |          5 |          9 |         45 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu                                                                                                            |          1 |         31 |          5 |          9 |         45 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu/simonbinder                                                                                                |          1 |         31 |          5 |          9 |         45 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu/simonbinder/sqlite3_flutter_libs                                                                           |          1 |         31 |          5 |          9 |         45 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/example                                                                                                                             |          2 |         17 |         42 |         14 |         73 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios                                                                                                                                 |          3 |         29 |          5 |          9 |         43 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios (Files)                                                                                                                         |          1 |         21 |          5 |          4 |         30 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/ios/Classes                                                                                                                         |          2 |          8 |          0 |          5 |         13 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/lib                                                                                                                                 |          1 |         14 |         17 |          7 |         38 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux                                                                                                                               |          2 |         22 |          0 |         13 |         35 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux (Files)                                                                                                                       |          1 |          4 |          0 |          4 |          8 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/include                                                                                                                       |          1 |         18 |          0 |          9 |         27 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/linux/include/sqlite3_flutter_libs                                                                                                  |          1 |         18 |          0 |          9 |         27 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos                                                                                                                               |          3 |         27 |          4 |          7 |         38 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos (Files)                                                                                                                       |          1 |         19 |          4 |          2 |         25 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/macos/Classes                                                                                                                       |          2 |          8 |          0 |          5 |         13 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows                                                                                                                             |          3 |         23 |          0 |         11 |         34 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows (Files)                                                                                                                     |          2 |          6 |          0 |          4 |         10 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/include                                                                                                                     |          1 |         17 |          0 |          7 |         24 |
| local_db/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/windows/include/sqlite3_flutter_libs                                                                                                |          1 |         17 |          0 |          7 |         24 |
| local_db/macos                                                                                                                                                                                             |          2 |         14 |          5 |          5 |         24 |
| local_db/macos/Flutter                                                                                                                                                                                     |          2 |         14 |          5 |          5 |         24 |
| local_db/macos/Flutter (Files)                                                                                                                                                                             |          1 |          4 |          3 |          4 |         11 |
| local_db/macos/Flutter/ephemeral                                                                                                                                                                           |          1 |         10 |          2 |          1 |         13 |
| local_db/test                                                                                                                                                                                              |          3 |         48 |         11 |         21 |         80 |
| local_db/windows                                                                                                                                                                                           |          2 |          8 |          9 |         11 |         28 |
| local_db/windows/flutter                                                                                                                                                                                   |          2 |          8 |          9 |         11 |         28 |
| receive_share                                                                                                                                                                                              |         18 |        179 |        103 |         88 |        370 |
| receive_share (Files)                                                                                                                                                                                      |          4 |         48 |         48 |         27 |        123 |
| receive_share/android                                                                                                                                                                                      |          2 |         21 |          3 |          4 |         28 |
| receive_share/android (Files)                                                                                                                                                                              |          1 |          2 |          0 |          0 |          2 |
| receive_share/android/app                                                                                                                                                                                  |          1 |         19 |          3 |          4 |         26 |
| receive_share/android/app/src                                                                                                                                                                              |          1 |         19 |          3 |          4 |         26 |
| receive_share/android/app/src/main                                                                                                                                                                         |          1 |         19 |          3 |          4 |         26 |
| receive_share/android/app/src/main/java                                                                                                                                                                    |          1 |         19 |          3 |          4 |         26 |
| receive_share/android/app/src/main/java/io                                                                                                                                                                 |          1 |         19 |          3 |          4 |         26 |
| receive_share/android/app/src/main/java/io/flutter                                                                                                                                                         |          1 |         19 |          3 |          4 |         26 |
| receive_share/android/app/src/main/java/io/flutter/plugins                                                                                                                                                 |          1 |         19 |          3 |          4 |         26 |
| receive_share/ios                                                                                                                                                                                          |          3 |         31 |         10 |         15 |         56 |
| receive_share/ios/Flutter                                                                                                                                                                                  |          1 |         11 |          2 |          1 |         14 |
| receive_share/ios/Runner                                                                                                                                                                                   |          2 |         20 |          8 |         14 |         42 |
| receive_share/lib                                                                                                                                                                                          |          2 |         44 |         14 |         12 |         70 |
| receive_share/lib (Files)                                                                                                                                                                                  |          1 |          2 |          0 |          2 |          4 |
| receive_share/lib/src                                                                                                                                                                                      |          1 |         42 |         14 |         10 |         66 |
| receive_share/linux                                                                                                                                                                                        |          2 |          8 |          9 |         11 |         28 |
| receive_share/linux/flutter                                                                                                                                                                                |          2 |          8 |          9 |         11 |         28 |
| receive_share/macos                                                                                                                                                                                        |          2 |         14 |          5 |          5 |         24 |
| receive_share/macos/Flutter                                                                                                                                                                                |          2 |         14 |          5 |          5 |         24 |
| receive_share/macos/Flutter (Files)                                                                                                                                                                        |          1 |          4 |          3 |          4 |         11 |
| receive_share/macos/Flutter/ephemeral                                                                                                                                                                      |          1 |         10 |          2 |          1 |         13 |
| receive_share/test                                                                                                                                                                                         |          1 |          5 |          5 |          3 |         13 |
| receive_share/windows                                                                                                                                                                                      |          2 |          8 |          9 |         11 |         28 |
| receive_share/windows/flutter                                                                                                                                                                              |          2 |          8 |          9 |         11 |         28 |
| text_to_speech                                                                                                                                                                                             |         32 |      1,192 |        209 |        306 |      1,707 |
| text_to_speech (Files)                                                                                                                                                                                     |          4 |         51 |         47 |         27 |        125 |
| text_to_speech/android                                                                                                                                                                                     |          2 |         21 |          3 |          4 |         28 |
| text_to_speech/android (Files)                                                                                                                                                                             |          1 |          2 |          0 |          0 |          2 |
| text_to_speech/android/app                                                                                                                                                                                 |          1 |         19 |          3 |          4 |         26 |
| text_to_speech/android/app/src                                                                                                                                                                             |          1 |         19 |          3 |          4 |         26 |
| text_to_speech/android/app/src/main                                                                                                                                                                        |          1 |         19 |          3 |          4 |         26 |
| text_to_speech/android/app/src/main/java                                                                                                                                                                   |          1 |         19 |          3 |          4 |         26 |
| text_to_speech/android/app/src/main/java/io                                                                                                                                                                |          1 |         19 |          3 |          4 |         26 |
| text_to_speech/android/app/src/main/java/io/flutter                                                                                                                                                        |          1 |         19 |          3 |          4 |         26 |
| text_to_speech/android/app/src/main/java/io/flutter/plugins                                                                                                                                                |          1 |         19 |          3 |          4 |         26 |
| text_to_speech/ios                                                                                                                                                                                         |          3 |         31 |         10 |         15 |         56 |
| text_to_speech/ios/Flutter                                                                                                                                                                                 |          1 |         11 |          2 |          1 |         14 |
| text_to_speech/ios/Runner                                                                                                                                                                                  |          2 |         20 |          8 |         14 |         42 |
| text_to_speech/lib                                                                                                                                                                                         |         16 |      1,052 |        121 |        230 |      1,403 |
| text_to_speech/lib (Files)                                                                                                                                                                                 |          1 |          3 |          0 |          2 |          5 |
| text_to_speech/lib/src                                                                                                                                                                                     |         15 |      1,049 |        121 |        228 |      1,398 |
| text_to_speech/linux                                                                                                                                                                                       |          2 |          8 |          9 |         11 |         28 |
| text_to_speech/linux/flutter                                                                                                                                                                               |          2 |          8 |          9 |         11 |         28 |
| text_to_speech/macos                                                                                                                                                                                       |          2 |         16 |          5 |          5 |         26 |
| text_to_speech/macos/Flutter                                                                                                                                                                               |          2 |         16 |          5 |          5 |         26 |
| text_to_speech/macos/Flutter (Files)                                                                                                                                                                       |          1 |          6 |          3 |          4 |         13 |
| text_to_speech/macos/Flutter/ephemeral                                                                                                                                                                     |          1 |         10 |          2 |          1 |         13 |
| text_to_speech/test                                                                                                                                                                                        |          1 |          5 |          5 |          3 |         13 |
| text_to_speech/windows                                                                                                                                                                                     |          2 |          8 |          9 |         11 |         28 |
| text_to_speech/windows/flutter                                                                                                                                                                             |          2 |          8 |          9 |         11 |         28 |
| web_scraping                                                                                                                                                                                               |         18 |        176 |        108 |         97 |        381 |
| web_scraping (Files)                                                                                                                                                                                       |          4 |         42 |         46 |         26 |        114 |
| web_scraping/android                                                                                                                                                                                       |          2 |         23 |          3 |          4 |         30 |
| web_scraping/android (Files)                                                                                                                                                                               |          1 |          2 |          0 |          0 |          2 |
| web_scraping/android/app                                                                                                                                                                                   |          1 |         21 |          3 |          4 |         28 |
| web_scraping/android/app/src                                                                                                                                                                               |          1 |         21 |          3 |          4 |         28 |
| web_scraping/android/app/src/main                                                                                                                                                                          |          1 |         21 |          3 |          4 |         28 |
| web_scraping/android/app/src/main/java                                                                                                                                                                     |          1 |         21 |          3 |          4 |         28 |
| web_scraping/android/app/src/main/java/io                                                                                                                                                                  |          1 |         21 |          3 |          4 |         28 |
| web_scraping/android/app/src/main/java/io/flutter                                                                                                                                                          |          1 |         21 |          3 |          4 |         28 |
| web_scraping/android/app/src/main/java/io/flutter/plugins                                                                                                                                                  |          1 |         21 |          3 |          4 |         28 |
| web_scraping/ios                                                                                                                                                                                           |          3 |         37 |         10 |         16 |         63 |
| web_scraping/ios/Flutter                                                                                                                                                                                   |          1 |         11 |          2 |          1 |         14 |
| web_scraping/ios/Runner                                                                                                                                                                                    |          2 |         26 |          8 |         15 |         49 |
| web_scraping/lib                                                                                                                                                                                           |          2 |         39 |         21 |         21 |         81 |
| web_scraping/lib (Files)                                                                                                                                                                                   |          1 |          2 |          0 |          2 |          4 |
| web_scraping/lib/src                                                                                                                                                                                       |          1 |         37 |         21 |         19 |         77 |
| web_scraping/linux                                                                                                                                                                                         |          2 |          8 |          9 |         11 |         28 |
